OBJECTID,LocationName,Grey_Headed,Black,Little_Red,ObservationDate,Status,Approval,Young,created_user,created_date,last_edited_user,last_edited_date,GlobalID,SHAPE_Length,SHAPE_Area
177757,Vidler,1397,1278,0,2019/02/12 00:47:18+00,A,3,Dependent,FlyingFox_Contractor,2019/02/12 00:55:08+00,td018,2019/02/20 22:44:48+00,{98E95D11-BA6F-4A7E-B0DC-A2F88FA7D5E4},481.407957683561,-10395.5674415973
177758,Elizabeth,365,280,1300,2019/02/12 02:06:38+00,A,3,Dependent,FlyingFox_Contractor,2019/02/12 02:21:12+00,td018,2019/02/20 22:44:11+00,{8DCC4F93-782C-4788-A897-9724D0A87A26},408.650459280886,-3426.84312893778
177759,Aragorn,448,2680,4875,2019/02/12 03:33:32+00,A,3,Dependent,FlyingFox_Contractor,2019/02/12 03:51:04+00,td018,2019/02/20 22:43:54+00,{4E05AC9C-3BBB-430E-A8A6-60391801AA0C},660.984668085229,-12816.4086132247
177760,Emerald,156,2140,11600,2019/02/12 04:26:09+00,A,3,Dependent,FlyingFox_Contractor,2019/02/12 04:28:53+00,td018,2019/02/20 22:44:27+00,{E26B5A3E-326D-434E-825A-A07DFA85F2E9},408.982106875965,-9176.8738793691
177761,Andrea,0,0,0,2019/02/12 22:33:17+00,A,3,Nil,FlyingFox_Contractor,2019/02/12 22:39:31+00,td018,2019/02/20 22:43:25+00,{232BEFB8-3612-4D3C-A1A4-C351FEC7EF34},181.712176522269,-2082.22154436952
177762,Mary,1950,0,0,2019/02/13 00:10:17+00,A,3,Independent,FlyingFox_Contractor,2019/02/13 00:42:27+00,td018,2019/02/20 22:42:08+00,{A22C2D13-4127-4871-AEFF-1CECC09D1F69},352.915217394845,-8085.81922120414
177763,Hardie,180,658,2350,2019/02/25 23:21:08+00,A,3,Dependent,FlyingFox_Contractor,2019/02/25 23:34:51+00,td018,2019/03/07 00:01:02+00,{A3FA7EE4-A8C8-46C4-912C-B5A0CBD177D2},311.815557998148,-6634.33133379805
177764,Vidler,1216,680,13571,2019/02/26 00:17:21+00,A,3,Dependent,FlyingFox_Contractor,2019/02/26 00:42:28+00,td018,2019/03/07 00:01:22+00,{BD23D333-D964-409B-8426-82F051B08126},506.022595317406,-10559.2497277982
177765,Elizabeth,589,602,2300,2019/02/26 02:31:11+00,A,3,Dependent,FlyingFox_Contractor,2019/02/26 02:41:32+00,td018,2019/03/07 00:00:09+00,{91C622DB-EFF0-4236-B4F5-8F6AF48C4AA0},442.191872148314,-5064.43272125534
177766,Aragorn,484,2789,14900,2019/02/26 03:19:43+00,A,3,Dependent,FlyingFox_Contractor,2019/02/26 03:43:37+00,td018,2019/03/06 23:59:46+00,{DFFF3F8D-FC1B-4819-B9B9-DBBC31334972},599.236436202996,-8350.8203897301
177767,Emerald,194,2358,10100,2019/02/26 04:13:19+00,A,3,Dependent,FlyingFox_Contractor,2019/02/26 04:30:43+00,td018,2019/03/07 00:00:36+00,{4882DADB-7F25-4B30-B8BC-33E6E91A7CD2},548.964976101939,-15710.7164037028
177768,Hardie,41,680,205,2019/03/11 23:19:27+00,A,3,Independent,FlyingFox_Contractor,2019/03/11 23:33:23+00,td018,2019/03/20 22:52:49+00,{A061F9EE-051C-465D-AD19-3FFCF521D2AD},272.646028214377,-5095.96105420173
177769,Vidler,1333,1099,0,2019/03/12 00:38:26+00,A,3,Independent,FlyingFox_Contractor,2019/03/12 00:58:09+00,td018,2019/03/20 22:53:08+00,{A9B6D546-B3C7-475A-8684-600AE7A29D1F},590.930081075418,-18148.3296052744
177770,Elizabeth,698,580,0,2019/03/12 01:56:26+00,A,3,Independent,FlyingFox_Contractor,2019/03/12 02:11:26+00,td018,2019/03/20 22:52:01+00,{9A44232E-09B1-4D9B-B3C6-707ECCD380A6},340.8288436139,-5013.45652908254
177771,Emerald,102,2560,11030,2019/03/12 04:18:08+00,A,3,Independent,FlyingFox_Contractor,2019/03/12 04:29:41+00,td018,2019/03/20 22:52:25+00,{8A530D1F-09F9-4AD0-8778-D92165442630},449.367759096532,-13084.4868283883
177772,Aragorn,510,2970,0,2019/03/12 03:27:56+00,A,3,Independent,FlyingFox_Contractor,2019/03/12 03:34:01+00,td018,2019/03/20 22:51:39+00,{6A42B40E-C42B-48CD-877E-7E26D40D2469},635.060118811395,-11420.2555948387
177773,Andrea,0,605,0,2019/03/12 22:29:49+00,A,3,Independent,FlyingFox_Contractor,2019/03/12 23:42:48+00,td018,2019/03/20 22:51:15+00,{CEB90E29-E9EA-4274-A79B-55A03CE221A1},294.38109925939,-5254.97467575329
177774,Mary,3872,0,0,2019/03/13 00:02:13+00,A,3,Independent,FlyingFox_Contractor,2019/03/13 00:08:47+00,td018,2019/03/20 22:50:34+00,{9A730515-1374-4B7A-8CAC-927DCDD5A978},485.974220754975,-16218.6037705728
177775,Hardie,0,0,0,2019/03/25 23:02:40+00,A,3,Nil,FlyingFox_Contractor,2019/03/25 23:05:05+00,td018,2019/04/08 22:22:48+00,{544936C1-6579-4496-8BDD-59BB3981F6B9},270.313090736181,-4910.88638039262
177776,Vidler,2111,1350,0,2019/03/26 00:40:13+00,A,3,Dependent,FlyingFox_Contractor,2019/03/26 00:47:12+00,td018,2019/04/08 22:23:09+00,{8A9F59D2-9B87-429D-9A41-5D7BAF99D472},781.624297018274,-24393.2273198193
177777,Aragorn,302,2506,10005,2019/03/26 03:26:40+00,A,3,Independent,FlyingFox_Contractor,2019/03/26 03:50:25+00,td018,2019/04/08 22:21:16+00,{9C03F862-679E-4C6C-A700-38EA82675EF3},743.849355928951,-14393.308320121
177778,Emerald,10,2006,0,2019/03/26 04:16:47+00,A,3,Independent,FlyingFox_Contractor,2019/03/26 04:32:07+00,td018,2019/04/08 22:22:18+00,{F1562D03-124C-4798-824C-D60F716918C1},441.246788691956,-10347.9612838867
177779,Elizabeth,14,68,0,2019/03/26 02:40:30+00,A,3,Independent,FlyingFox_Contractor,2019/03/26 02:43:47+00,td018,2019/04/08 22:21:51+00,{F8A20429-7C31-4427-BB1A-036E425B3D63},270.687637129287,-1703.54027072203
177780,Andrea,0,780,0,2019/04/09 22:57:32+00,A,3,Independent,FlyingFox_Contractor,2019/04/09 23:05:17+00,td018,2019/04/24 05:45:51+00,{BB0905BB-CEC9-44C7-9A77-5D0F17F0E1C9},482.804959597749,-11671.3405874715
177781,Mary,3600,0,0,2019/04/10 00:40:23+00,A,3,Independent,FlyingFox_Contractor,2019/04/10 01:51:21+00,td018,2019/04/24 05:45:26+00,{8056359E-60D7-46F0-8FA1-EF308D0D1CA6},1226.67919078933,-27900.3532928869
177782,Hardie,0,0,0,2019/04/10 22:24:32+00,A,3,Nil,FlyingFox_Contractor,2019/04/10 22:29:02+00,td018,2019/04/24 05:47:05+00,{DD9A198C-F499-4D23-8F1E-9AD945D1BFDF},356.222986696398,-7746.55309269886
177783,Vidler,2691,1341,0,2019/04/10 23:08:32+00,A,3,Independent,FlyingFox_Contractor,2019/04/10 23:28:09+00,td018,2019/04/24 07:20:03+00,{A2F75E15-5782-4D7E-BEB0-040EFE574DBC},675.686690556242,-21665.0123163307
177784,Emerald,0,2405,0,2019/04/11 02:24:39+00,A,3,Independent,FlyingFox_Contractor,2019/04/11 01:41:24+00,td018,2019/04/24 07:19:15+00,{B8F5BA9B-213A-4135-B94C-B4F66FE69180},438.552913586933,-7380.26874488123
177785,Elizabeth,0,0,0,2019/04/11 00:33:48+00,A,3,Nil,FlyingFox_Contractor,2019/04/11 00:37:14+00,td018,2019/04/24 07:18:32+00,{DAE009AD-B226-45FD-80BA-59879D1BD95C},450.767556482855,-6831.19969814926
177786,Aragorn,0,0,0,2019/04/11 01:58:37+00,A,3,Nil,FlyingFox_Contractor,2019/04/11 01:02:37+00,td018,2019/04/24 05:48:38+00,{776B07EB-4D55-4310-864C-FD0141E1E273},619.847649383668,-12390.4844543902
177787,Hardie,0,0,0,2019/04/22 23:03:31+00,A,3,Nil,FlyingFox_Contractor,2019/04/22 23:07:32+00,td018,2019/05/01 22:29:42+00,{38B43BE4-A1D8-47B8-97D4-305945A0D367},362.167803745611,-7829.14203793651
177788,Vidler,1818,1166,0,2019/04/22 23:53:36+00,A,3,Independent,FlyingFox_Contractor,2019/04/22 23:56:17+00,td018,2019/05/01 22:29:58+00,{7CA6B553-900A-4FEB-B848-F89192CA2FA6},551.065006631287,-17080.2206625136
177789,Elizabeth,0,0,0,2019/04/23 00:45:27+00,A,3,Nil,FlyingFox_Contractor,2019/04/23 00:53:28+00,td018,2019/05/01 22:29:02+00,{69FF05BF-7426-468B-9AB5-7CBD97D5C8A0},443.662596507061,-6700.66182384333
177790,Aragorn,0,0,0,2019/04/23 01:21:45+00,A,3,Nil,FlyingFox_Contractor,2019/04/23 02:02:22+00,td018,2019/05/01 22:28:39+00,{DC7573A4-0C03-4C36-BA0C-1B1A8D671456},627.443329150841,-12368.4667066244
177791,Emerald,0,0,0,2019/04/23 02:18:44+00,A,3,Nil,FlyingFox_Contractor,2019/04/23 02:28:54+00,td018,2019/05/01 22:29:26+00,{7B16BA1C-A343-4731-ADB8-6B73770AF3EA},435.845318973712,-7233.98829927322
177792,Hardie,0,0,0,2019/05/08 23:33:53+00,A,3,Nil,FlyingFox_Contractor,2019/05/08 23:37:59+00,td018,2019/05/20 23:27:28+00,{FF867A21-1008-4404-98FD-C93C0F712A95},361.860069534044,-7551.34300311214
177793,Vidler,0,0,0,2019/05/09 00:13:06+00,A,3,Nil,FlyingFox_Contractor,2019/05/09 00:17:19+00,td018,2019/05/20 23:27:58+00,{5A3F9557-E23A-47EC-A812-0D336E1B05BD},732.503898084433,-22557.0129310734
177794,Elizabeth,0,0,0,2019/05/09 01:05:40+00,A,3,Nil,FlyingFox_Contractor,2019/05/09 01:10:08+00,td018,2019/05/20 23:26:45+00,{90186C3D-C5C8-4193-8C54-3861BBBBCB6C},436.332341035549,-6395.75106043124
177795,Aragorn,0,0,0,2019/05/09 03:17:58+00,A,3,Nil,FlyingFox_Contractor,2019/05/09 03:23:08+00,td018,2019/05/20 23:26:20+00,{C013DF9E-69C8-4CCF-ACFE-2F1C532FA7FE},646.559025413775,-13539.6838175034
